Ano,orgao_superior,orgao,unidade_gestora,categoria,Origem,especie,detalhamento,valor_loa,valor_atualizado
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,12 - Contribuições,121 - Contribuições sociais,12101808 - CONTR.S/REC.CONC.PROG.DEST.PRAT.DESP-MOD.FUTE,6182908.00,6182908.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público",19329901 - REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC,179337.00,179337.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,16 - Receita de Serviços,160 - Receita de Serviços,16005000 - TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,13 - Receita Patrimonial,132 - Valores Mobiliários,13270000 - REMUNERACAO DE SALDOS NAO DESEMBOLSADOS,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais",19159901 - OUTRAS MULT.JUR.MORA DIV.ATIV.OUTR.RECEITAS,169329.00,169329.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais",19189900 - OUTRAS MULTAS E JUROS DE MORA,1782719.00,1782719.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,16 - Receita de Serviços,160 - Receita de Serviços,16001300 - SERVICOS ADMINISTRATIVOS,38150.00,38150.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,16 - Receita de Serviços,160 - Receita de Serviços,16000299 - OUTROS SERVICOS FINANCEIROS,293000000.00,293000000.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220700 - RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220100 - RESTITUICOES DE CONVENIOS,105010564.00,105010564.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,199 - Demais receitas correntes,19900202 - RECEITA DE ÔNUS DE SUCUMBÊNCIA,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais",19199900 - OUTRAS MULTAS,2401209.00,2401209.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19229900 - OUTRAS RESTITUICOES,57624392.00,57624392.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220200 - RESTITUICOES DE BENEFICIOS NAO DESEMBOLSADOS,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,7 - Receitas Correntes - intra-orçamentárias,79 - Outras Receitas Correntes,792 - Indenizações e restituições,79229900 - OUTRAS RESTITUICOES,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"191 - Multas administrativas, contratuais e judiciais",19192700 - MULTAS E JUROS PREVISTOS EM CONTRATOS,857780.00,857780.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,7 - Receitas Correntes - intra-orçamentárias,79 - Outras Receitas Correntes,792 - Indenizações e restituições,79220100 - RESTITUICOES DE CONVENIOS,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19220500 - RESSARC.P/ OPER.SEGUR.PRIVADOS ASSIST.SAÚDE,44994546.00,44994546.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,199 - Demais receitas correntes,19901600 - RECEITA PART. SEGURO-DPVAT-SIST.NAC. TRANSITO,3408171392.00,3408171392.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,13 - Receita Patrimonial,131 - Exploração do patrimônio imobiliário do Estado,13110000 - ALUGUEIS,215101.00,215101.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,7 - Receitas Correntes - intra-orçamentárias,79 - Outras Receitas Correntes,"791 - Multas administrativas, contratuais e judiciais",79189900 - OUTRAS MULTAS E JUROS DE MORA,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,16 - Receita de Serviços,160 - Receita de Serviços,16000501 - SERVICOS HOSPITALARES,0.00,0.00
2013,36000 - Ministério da Saúde,36000 - Ministério da Saúde - Unidades com vínculo direto,250088 - SPO-COORD.-GERAL DE FINANCAS/MS,1 - Receitas Correntes,19 - Outras Receitas Correntes,"192 - Indenizações, restituições e ressarcimentos",19219900 - OUTRAS INDENIZACOES,0.00,0.00
